Date,Price,Open,High,Low
21-10-2021,25.075,24.65,25.75,24.4
20-10-2021,26.3,26.95,26.95,25.65
19-10-2021,28.2,29,29.4,27
18-10-2021,27.7,28.3,28.4,27
14-10-2021,24.075,24.4,25.85,22.3
13-10-2021,22.225,21.65,23.5,20.95
12-10-2021,21.2,21.15,21.8,20.6
11-10-2021,21.4,21.75,22,20.8
08-10-2021,21.825,21.9,22.5,21.15
07-10-2021,22.45,23.05,23.85,21.05
06-10-2021,22.1,22.6,22.6,21.6
05-10-2021,21.175,20.9,21.55,20.8
04-10-2021,20.925,21.4,21.4,20.45
01-10-2021,21.35,21.9,22.25,20.45
30-09-2021,21.75,22,22.4,21.1
29-09-2021,21.725,22.45,22.45,21
28-09-2021,21.4,21.4,21.4,21.4
27-09-2021,20.4,20.4,20.4,20.4
24-09-2021,19.6,19.95,19.95,19.25
23-09-2021,19.7,19.95,20.1,19.3
22-09-2021,19.4,19.75,20,18.8
21-09-2021,19.35,19.7,19.7,19
20-09-2021,19.55,19.45,19.9,19.2
17-09-2021,19.7,20.2,20.35,19.05
16-09-2021,19.95,19.5,20.4,19.5
15-09-2021,19.8,19.95,20.2,19.4
14-09-2021,20.2,20,20.6,19.8
13-09-2021,20.375,20.45,20.75,20
09-09-2021,19.55,19.35,20.1,19
08-09-2021,19.925,19.9,20.25,19.6
07-09-2021,19.7,19.75,19.9,19.5
06-09-2021,19.475,19.4,19.95,19
03-09-2021,19.25,19.25,19.75,18.75
02-09-2021,18.35,18.25,18.95,17.75
01-09-2021,18.025,17.75,18.3,17.75
31-08-2021,18.25,18.35,18.6,17.9
30-08-2021,18.05,18.25,18.6,17.5
27-08-2021,18.525,19.35,19.35,17.7
26-08-2021,18.2,18.6,18.6,17.8
25-08-2021,17.3,17.45,17.8,16.8
24-08-2021,17.125,17.5,17.5,16.75
23-08-2021,17.375,17.25,17.75,17
20-08-2021,18.25,18.7,18.7,17.8
18-08-2021,19.325,19.95,20,18.65
17-08-2021,19.55,19.5,19.9,19.2
16-08-2021,19.65,19.4,19.9,19.4
13-08-2021,20.175,20.4,20.45,19.9
12-08-2021,20.25,20.1,20.45,20.05
11-08-2021,19.825,19.95,20.4,19.25
10-08-2021,20.325,20.9,20.9,19.75
09-08-2021,21.525,22.3,22.3,20.75
06-08-2021,22.225,23,23.2,21.25
05-08-2021,21.725,22,22.1,21.35
04-08-2021,20.65,20.6,21.15,20.15
03-08-2021,19.775,20.2,20.6,18.95
02-08-2021,19.95,20,20.5,19.4
30-07-2021,21.025,20,22.05,20
29-07-2021,21.05,21.05,21.05,21.05
28-07-2021,23.025,22.65,23.9,22.15
27-07-2021,24.275,23.3,25.25,23.3
26-07-2021,24.5,24.5,24.5,24.5
23-07-2021,26.325,25.75,26.9,25.75
22-07-2021,27.1,27.1,27.1,27.1
20-07-2021,28.5,28.5,28.5,28.5
19-07-2021,29.95,29.95,29.95,29.95
16-07-2021,32.225,33.4,33.4,31.05
15-07-2021,32.875,33.65,33.65,32.1
14-07-2021,33.125,33.1,33.75,32.5
13-07-2021,33.525,33.3,34.05,33
12-07-2021,34,33.9,35,33
09-07-2021,34.15,34.4,34.8,33.5
08-07-2021,34.4,34.8,34.8,34
07-07-2021,34.025,34.4,35,33.05
06-07-2021,35.225,36,36,34.45
05-07-2021,36.225,36.75,36.75,35.7
02-07-2021,33.875,33.9,35,32.75
01-07-2021,32.875,32,33.75,32
30-06-2021,31.725,31.25,32.65,30.8
29-06-2021,31.6,32.35,32.65,30.55
28-06-2021,32.675,32.5,33.5,31.85
25-06-2021,33,32.1,33.95,32.05
24-06-2021,34.55,35.7,35.7,33.4
23-06-2021,34.85,35.7,35.7,34
22-06-2021,33.55,34,34,33.1
21-06-2021,31.45,31.95,32.4,30.5
18-06-2021,29.825,30,31,28.65
17-06-2021,30.75,30.75,32.25,29.25
16-06-2021,32.2,33.7,33.7,30.7
15-06-2021,31.75,31.25,32.3,31.2
14-06-2021,29.35,28.8,30.8,27.9
11-06-2021,29.45,30.2,30.2,28.7
10-06-2021,29.45,29.7,30.3,28.6
09-06-2021,28.9,28.5,29.8,28
08-06-2021,27.7,27.8,28.4,27
07-06-2021,27.525,27.6,28.5,26.55
04-06-2021,27.75,28.5,28.95,26.55
03-06-2021,27.6,27.6,27.6,27.6
02-06-2021,25.4,24.5,26.3,24.5
01-06-2021,25.275,25.8,25.9,24.65
31-05-2021,26.65,27.15,27.5,25.8
28-05-2021,27.95,27.9,28.9,27
27-05-2021,27.65,27.9,28.2,27.1
26-05-2021,27.875,27.5,28.25,27.5
25-05-2021,28.175,28,28.8,27.55
24-05-2021,28.975,29.65,29.95,28
21-05-2021,28.575,28,29.6,27.55
20-05-2021,28.1,28.2,28.95,27.25
19-05-2021,29.1,28.7,30.1,28.1
18-05-2021,29.2,30.65,30.65,27.75
17-05-2021,28.1,29.2,29.2,27
14-05-2021,27.85,27.85,27.85,27.85
12-05-2021,26.325,26.2,26.55,26.1
11-05-2021,24.3,23.85,25.3,23.3
10-05-2021,24.075,24.3,24.75,23.4
07-05-2021,24.05,24.6,24.8,23.3
06-05-2021,23.725,24,24.45,23
05-05-2021,23.575,23,24.15,23
04-05-2021,23.025,23.4,24,22.05
03-05-2021,21.85,21.85,22.9,20.8
30-04-2021,22.425,23,23,21.85
29-04-2021,23.325,23.75,24.45,22.2
28-04-2021,23.5,24.65,24.65,22.35
27-04-2021,23.5,23.5,23.5,23.5
26-04-2021,22.4,22.4,22.4,22.4
23-04-2021,21.35,21.35,21.35,21.35
22-04-2021,20.05,20.2,20.35,19.75
20-04-2021,18.775,18.5,19.4,18.15
19-04-2021,17.825,17.8,18.6,17.05
16-04-2021,18.075,18.45,18.5,17.65
15-04-2021,17.95,17.7,18.55,17.35
13-04-2021,17,16.3,17.75,16.25
12-04-2021,17.1,17.25,17.25,16.95
09-04-2021,17.55,17.95,18,17.1
08-04-2021,18.2,18.2,18.6,17.8
07-04-2021,18.15,18.95,18.95,17.35
06-04-2021,17.875,18.25,18.25,17.5
05-04-2021,16.725,17.4,17.4,16.05
01-04-2021,16.6,16.6,16.6,16.6
31-03-2021,15.625,15.85,15.85,15.4
30-03-2021,14.8,15.1,15.1,14.5
26-03-2021,14.425,14.7,14.7,14.15
25-03-2021,14.85,15,15.35,14.35
24-03-2021,14.85,14.8,15.2,14.5
23-03-2021,14.7,14.5,14.95,14.45
22-03-2021,14.95,15.25,15.25,14.65
19-03-2021,14.8,15,15.2,14.4
18-03-2021,15.275,15.55,15.7,14.85
17-03-2021,15.75,15.8,16,15.5
16-03-2021,15.625,15.55,16,15.25
15-03-2021,16.55,17.35,17.35,15.75
12-03-2021,15.975,16,16.55,15.4
10-03-2021,15.85,16.2,16.2,15.5
09-03-2021,16,16.1,16.3,15.7
08-03-2021,16.325,16.85,16.85,15.8
05-03-2021,16.675,16.95,17.05,16.3
04-03-2021,16.675,16.65,17.25,16.1
03-03-2021,16.6,16.75,17.1,16.1
02-03-2021,17.25,17.4,17.8,16.7
01-03-2021,17.1,16.7,17.5,16.7
26-02-2021,16.375,15.9,16.85,15.9
25-02-2021,16.025,16.2,16.35,15.7
24-02-2021,16.075,16,16.3,15.85
23-02-2021,16.125,16.4,16.4,15.85
22-02-2021,16.625,17,17.1,16.15
19-02-2021,16.7,17.4,17.4,16
18-02-2021,16.45,16.4,16.8,16.1
17-02-2021,15.95,15.95,16.4,15.5
16-02-2021,16.2,16.7,16.7,15.7
15-02-2021,16.85,17.35,17.4,16.3
12-02-2021,17.55,18.2,18.2,16.9
11-02-2021,17.525,17.7,17.7,17.35
10-02-2021,16.25,16.45,16.9,15.6
09-02-2021,15.925,15.5,16.4,15.45
08-02-2021,15.85,16,16.1,15.6
05-02-2021,15.925,15.85,16.1,15.75
04-02-2021,16.125,16.45,16.45,15.8
03-02-2021,16.1,15.95,16.4,15.8
02-02-2021,15.85,16.2,16.2,15.5
01-02-2021,15.975,15.95,16.7,15.25
29-01-2021,15.95,16.25,16.3,15.6
28-01-2021,15.675,15.5,16,15.35
27-01-2021,16.075,16.4,16.5,15.65
25-01-2021,16.875,17,17.5,16.25
22-01-2021,17.175,17,17.65,16.7
21-01-2021,17.2,17.35,17.8,16.6
20-01-2021,16.875,16.6,17.25,16.5
19-01-2021,15.975,16.4,16.6,15.35
18-01-2021,16,15.8,16.2,15.8
15-01-2021,17,17.4,17.4,16.6
14-01-2021,18.2,19,19,17.4
13-01-2021,20.4,21.5,21.7,19.1
12-01-2021,21.875,23,23,20.75
11-01-2021,23.15,24.25,24.25,22.05
08-01-2021,23.075,22.3,24,22.15
07-01-2021,23.025,22.05,24,22.05
06-01-2021,23.725,24.35,25.45,22
05-01-2021,22.4,20.45,24.7,20.1
04-01-2021,19.7,18,21.4,18
01-01-2021,18,18,18.45,17.55
31-12-2020,17.89,18,18.18,17.6
30-12-2020,18.255,18.5,18.6,17.91
29-12-2020,18.73,19.15,19.25,18.21
28-12-2020,18.35,17.8,18.9,17.8
24-12-2020,18.075,18.25,18.65,17.5
23-12-2020,17.625,17.43,18.7,16.55
22-12-2020,17.095,17.98,17.98,16.21
21-12-2020,16.465,17.65,18.95,13.98
18-12-2020,17.665,17.6,18.18,17.15
17-12-2020,18.125,18,18.65,17.6
16-12-2020,18.23,18.5,18.85,17.61
15-12-2020,17.945,17,19.19,16.7
14-12-2020,16.45,16.1,16.9,16
11-12-2020,16.525,16.75,17.1,15.95
10-12-2020,16.81,15.62,18,15.62
09-12-2020,15.805,15.85,16.2,15.41
08-12-2020,15.8,16.24,16.24,15.36
07-12-2020,15.51,15.29,16.2,14.82
04-12-2020,15.1,15.21,15.5,14.7
03-12-2020,15.465,15.98,15.98,14.95
02-12-2020,15.91,16.79,16.79,15.03
01-12-2020,16.79,16.25,17.47,16.11
