Date,brent-daily_Price,dubai-daily_Price,dubai-daily_Open,dubai-daily_High,dubai-daily_Low,wti-daily_Price
2021-06-27,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-06-28,74.78,71.54,71.54,71.54,71.54,72.98
2021-06-29,75.38,71.57,71.57,71.57,71.57,73.14
2021-06-30,76.94,71.57,71.57,71.57,71.57,73.52
2021-07-01,76.69,73.88,73.88,73.88,73.88,75.33
2021-07-02,77.51,74.23,74.23,74.23,74.23,75.37
2021-07-03,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-07-04,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-07-05,78.34,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-07-06,75.81,72.93,72.93,72.93,72.93,73.62
2021-07-07,74.31,72.08,72.08,72.08,72.08,72.22
2021-07-08,75.07,72.58,72.58,72.58,72.58,72.98
2021-07-09,77.14,73.72,73.72,73.72,73.72,74.56
2021-07-10,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-07-11,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-07-12,76.77,73.54,73.54,73.54,73.54,74.21
2021-07-13,77.5,74.36,74.36,74.36,74.36,75.24
2021-07-14,75.74,73.48,73.48,73.48,73.48,73.06
2021-07-15,74.53,72.83,72.83,72.83,72.83,71.67
2021-07-16,74.46,72.92,72.92,72.92,72.92,71.76
2021-07-17,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-07-18,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-07-19,69.33,71.01,71.01,71.01,71.01,66.45
2021-07-20,70.03,71.28,71.28,71.28,71.28,67.32
2021-07-21,72.54,72.28,72.28,72.28,72.28,70.26
2021-07-22,74.25,72.81,72.81,72.81,72.81,72.15
2021-07-23,74.86,72.87,72.87,72.87,72.87,72.24
2021-07-24,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-07-25,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-07-26,74.79,72.83,72.83,72.83,72.83,72.15
2021-07-27,74.87,72.81,72.81,72.81,72.81,71.68
2021-07-28,75.09,72.81,72.81,72.81,72.81,72.37
2021-07-29,76.3,72.89,72.89,72.89,72.89,73.62
2021-07-30,77.72,72.9,72.9,72.9,72.9,73.93
2021-07-31,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-08-01,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-08-02,73.91,71.37,71.37,71.37,71.37,71.31
2021-08-03,73.24,70.95,70.95,70.95,70.95,70.64
2021-08-04,70.99,69.39,69.39,69.39,69.39,68.19
2021-08-05,72.14,70.22,70.22,70.22,70.22,69.1
2021-08-06,71.02,69.74,69.74,69.74,69.74,68.26
2021-08-07,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-08-08,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-08-09,69.65,68.49,68.49,68.49,68.49,66.56
2021-08-10,71.14,69.71,69.71,69.71,69.71,68.33
2021-08-11,71.99,70.42,70.42,70.42,70.42,69.3
2021-08-12,71.79,70.44,70.44,70.44,70.44,69.12
2021-08-13,70.9,70.05,70.05,70.05,70.05,68.36
2021-08-14,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-08-15,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-08-16,70.07,69.53,69.53,69.53,69.53,67.44
2021-08-17,69.4,69.33,69.33,69.33,69.33,66.5
2021-08-18,68.61,68.95,68.95,68.95,68.95,65.36
2021-08-19,66.8,68.03,68.03,68.03,68.03,63.69
2021-08-20,65.51,67.6,67.6,67.6,67.6,62.25
2021-08-21,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-08-22,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-08-23,69.07,68.76,68.76,68.76,68.76,65.65
2021-08-24,71.21,69.31,69.31,69.31,69.31,67.5
2021-08-25,72.12,69.45,69.45,69.45,69.45,68.54
2021-08-26,70.42,69.24,69.24,69.24,69.24,67.42
2021-08-27,72.26,69.44,69.44,69.44,69.44,68.84
2021-08-28,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-08-29,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2021-08-30,62.49193170731708,69.46,69.46,69.46,69.46,69.28
2021-08-31,73.45,69.49,69.49,69.49,69.49,68.43
2021-09-01,71.99,69.92,69.92,69.92,69.92,68.63
2021-09-02,73.56,71.22,71.22,71.22,71.22,70.07
2021-09-03,73.07,70.64,70.64,70.64,70.64,69.34
